row,col,tile_id
0,0,grass_plain
0,1,grass_dark_patch
0,2,grass_with_wildflowers
0,3,grass_short_blades
0,4,grass_tall_dense
0,5,dirt_patch_on_grass
0,6,dirt_plain
0,7,dirt_with_pebbles
1,0,path_horizontal
1,1,path_vertical
1,2,path_corner_bottom_right
1,3,path_4way_cross
1,4,path_corner_top_right
1,5,path_corner_top_left
1,6,path_t_junction_open_top
1,7,path_4way_cross
2,0,cliff_face_straight
2,1,cliff_corner_convex_left
2,2,cliff_corner_convex_right
2,3,cliff_corner_left_edge
2,4,cliff_face_right_edge
2,5,cliff_face_right_edge
2,6,cliff_stairs
2,7,cliff_stairs
3,0,tree_small_oak
3,1,tree_medium_oak
3,2,tree_large_oak
3,3,tree_large_gnarled
3,4,tree_stump
3,5,tree_large_sparse
3,6,log_fallen
3,7,tree_pine_cluster
4,0,tree_tall_oval
4,1,tree_wide_branching
4,2,tree_large_dense
4,3,tree_ancient_roots
4,4,tree_stump_alt
4,5,tree_medium_open
4,6,log_fallen_alt
4,7,tree_bushy_cluster
5,0,bush_plain
5,1,bush_red_berries
5,2,rock_small_and_pebble
5,3,rock_large
5,4,rock_mossy
5,5,mushroom_cluster
5,6,log_small
5,7,fern_patch
6,0,water_open
6,1,water_ripple
6,2,shore_left_edge
6,3,shore_top_straight
6,4,shore_top_straight
6,5,shore_right_edge
6,6,shore_corner_top_left
6,7,shore_corner_top_right
7,0,signpost_wooden
7,1,well_stone
7,2,campfire
7,3,crate_wooden
7,4,barrel_wooden
7,5,bench_wooden
7,6,post_wooden
7,7,lamp_post
